iter	Passed	Remaining
417	2978	4147
418	2984	4138
419	2991	4130
420	2998	4123
421	3004	4114
422	3010	4105
423	3016	4097
424	3022	4089
425	3029	4081
426	3035	4072
427	3041	4064
428	3047	4055
429	3055	4049
430	3061	4041
431	3066	4032
432	3072	4023
433	3079	4015
434	3085	4007
435	3091	3998
436	3097	3990
437	3104	3983
438	3110	3974
439	3116	3966
440	3123	3959
441	3129	3951
442	3135	3942
443	3142	3934
444	3148	3927
445	3155	3919
446	3161	3910
447	3166	3901
448	3173	3893
449	3178	3885
450	3186	3878
451	3192	3870
452	3198	3861
453	3204	3853
454	3210	3845
455	3216	3837
456	3222	3828
457	3228	3820
458	3234	3812
459	3241	3804
460	3246	3796
461	3253	3788
462	3262	3784
463	3272	3780
464	3280	3774
465	3287	3766
466	3295	3761
467	3306	3758
468	3314	3753
469	3324	3748
470	3334	3745
471	3346	3743
472	3354	3737
473	3363	3732
474	3372	3727
475	3379	3720
476	3389	3716
477	3398	3711
478	3407	3705
479	3415	3700
480	3421	3691
481	3427	3683
482	3432	3674
483	3440	3667
484	3446	3659
485	3455	3654
486	3461	3646
487	3468	3639
488	3474	3630
489	3480	3622
490	3486	3614
491	3493	3606
492	3500	3599
493	3506	3591
494	3512	3583
495	3519	3576
496	3525	3568
497	3531	3559
498	3538	3552
499	3545	3545
500	3551	3537
501	3556	3528
502	3563	3520
503	3570	3513
504	3576	3505
505	3584	3499
506	3590	3491
507	3596	3483
508	3603	3475
509	3608	3467
510	3614	3459
511	3621	3451
512	3628	3444
513	3635	3437
514	3641	3429
515	3647	3421
516	3653	3413
517	3659	3405
518	3666	3398
519	3672	3390
520	3678	3381
521	3685	3374
522	3692	3367
523	3698	3359
524	3704	3352
525	3710	3343
526	3717	3336
527	3722	3327
528	3728	3319
529	3735	3312
530	3741	3305
531	3748	3297
532	3753	3288
533	3759	3280
534	3765	3273
535	3772	3265
536	3777	3257
537	3783	3249
538	3789	3241
539	3796	3234
540	3802	3226
541	3808	3218
542	3815	3211
543	3822	3204
544	3829	3197
545	3836	3189
546	3841	3181
547	3848	3174
548	3854	3166
549	3859	3157
550	3866	3150
551	3873	3143
552	3880	3136
553	3885	3128
554	3891	3120
555	3897	3112
556	3903	3104
557	3911	3098
558	3918	3091
559	3924	3083
560	3931	3076
561	3936	3068
562	3943	3060
563	3949	3053
564	3955	3045
565	3961	3037
566	3967	3029
567	3973	3022
568	3981	3015
569	3988	3008
570	3994	3001
571	4000	2993
572	4006	2985
573	4013	2978
574	4020	2971
575	4027	2964
576	4033	2956
577	4039	2949
578	4045	2941
579	4051	2933
580	4057	2925
581	4063	2918
582	4070	2911
583	4077	2904
584	4082	2896
585	4088	2888
586	4096	2882
587	4105	2876
588	4114	2870
589	4120	2863
590	4126	2855
591	4132	2848
592	4138	2840
593	4146	2833
594	4151	2825
595	4158	2818
596	4165	2811
597	4171	2804
598	4188	2803
599	4195	2797
600	4201	2789
601	4248	2808
602	4309	2837
603	4319	2831
604	4327	2825
605	4335	2818
606	4342	2811
607	4351	2805
608	4358	2798
609	4365	2791
610	4372	2783
611	4379	2776
612	4385	2768
613	4393	2761
614	4399	2754
615	4405	2746
616	4412	2739
617	4420	2732
618	4427	2725
619	4435	2718
620	4442	2711
621	4449	2704
622	4457	2697
623	4464	2689
624	4470	2682
625	4477	2675
626	4484	2668
627	4491	2660
628	4497	2653
629	4505	2646
630	4512	2638
631	4519	2631
632	4526	2624
633	4533	2617
634	4540	2610
635	4546	2602
636	4553	2594
637	4559	2587
638	4565	2579
639	4572	2571
640	4578	2563
641	4584	2556
642	4591	2549
643	4596	2541
644	4604	2534
645	4611	2527
646	4618	2519
647	4624	2511
648	4631	2505
649	4638	2497
650	4644	2489
651	4650	2482
652	4656	2474
653	4662	2466
654	4669	2459
655	4675	2451
656	4681	2443
657	4687	2436
658	4694	2429
659	4701	2421
660	4708	2414
661	4713	2406
662	4719	2399
663	4726	2391
664	4734	2384
665	4739	2377
666	4745	2369
667	4751	2361
668	4758	2354
669	4765	2347
670	4771	2339
671	4777	2331
672	4784	2324
673	4791	2317
674	4797	2309
675	4803	2302
676	4809	2294
677	4816	2287
678	4822	2279
679	4828	2272
680	4835	2265
681	4841	2257
682	4848	2250
683	4854	2242
684	4860	2235
685	4867	2228
686	4874	2220
687	4880	2213
688	4886	2205
689	4891	2197
690	4898	2190
691	4905	2183
692	4912	2176
693	4919	2169
694	4925	2161
695	4931	2153
696	4937	2146
697	4944	2139
698	4950	2131
699	4955	2123
700	4962	2116
701	4968	2108
702	4974	2101
703	4981	2094
704	4988	2087
705	4994	2079
706	5000	2072
707	5006	2064
708	5013	2057
709	5019	2050
710	5025	2042
711	5031	2035
712	5037	2027
713	5044	2020
714	5049	2012
715	5056	2005
716	5062	1998
717	5069	1991
718	5076	1983
719	5082	1976
720	5087	1968
721	5094	1961
722	5100	1953
723	5106	1946
724	5113	1939
725	5119	1932
726	5125	1924
727	5131	1917
728	5136	1909
729	5144	1902
730	5150	1895
731	5156	1888
732	5163	1880
733	5168	1873
734	5174	1865
735	5180	1858
736	5184	1849
737	5191	1843
738	5197	1835
739	5204	1828
740	5210	1821
741	5216	1813
742	5222	1806
743	5229	1799
744	5236	1792
745	5245	1786
746	5251	1778
747	5257	1771
748	5263	1763
749	5269	1756
750	5276	1749
751	5282	1742
752	5288	1734
753	5294	1727
754	5301	1720
755	5307	1712
756	5313	1705
757	5319	1698
758	5325	1691
759	5331	1683
760	5337	1676
761	5343	1668
762	5350	1662
763	5357	1655
764	5363	1647
765	5370	1640
766	5377	1633
767	5383	1626
768	5390	1619
769	5395	1611
770	5401	1604
771	5407	1597
772	5413	1589
773	5419	1582
774	5427	1575
775	5432	1568
776	5438	1560
777	5444	1553
778	5450	1546
779	5458	1539
780	5464	1532
781	5470	1525
782	5476	1517
783	5483	1510
784	5490	1503
785	5496	1496
786	5502	1489
787	5513	1483
788	5524	1477
789	5531	1470
790	5539	1463
791	5546	1456
792	5553	1449
793	5562	1443
794	5572	1436
795	5581	1430
796	5588	1423
797	5595	1416
798	5603	1409
799	5611	1402
800	5620	1396
801	5629	1389
802	5638	1383
803	5644	1376
804	5650	1368
805	5657	1361
806	5665	1354
807	5672	1347
808	5679	1340
809	5686	1333
810	5693	1326
811	5700	1319
812	5708	1312
813	5714	1305
814	5721	1298
815	5728	1291
816	5735	1284
817	5740	1277
818	5746	1270
819	5754	1263
820	5760	1255
821	5767	1248
822	5772	1241
823	5779	1234
824	5785	1227
825	5791	1219
826	5797	1212
827	5804	1205
828	5810	1198
829	5816	1191
830	5822	1184
831	5827	1176
832	5834	1169
833	5840	1162
834	5846	1155
835	5852	1148
836	5859	1141
837	5865	1133
838	5872	1126
839	5880	1120
840	5888	1113
841	5896	1106
842	5902	1099
843	5909	1092
844	5915	1085
845	5922	1078
846	5929	1071
847	5935	1063
848	5941	1056
849	5947	1049
850	5953	1042
851	5961	1035
852	5968	1028
853	5974	1021
854	5980	1014
855	5985	1006
856	5992	999
857	5999	992
858	6004	985
859	6011	978
860	6016	971
861	6022	964
862	6029	957
863	6035	950
864	6041	942
865	6048	935
866	6054	928
867	6059	921
868	6066	914
869	6072	907
870	6079	900
871	6085	893
872	6091	886
873	6098	879
874	6103	871
875	6110	864
876	6116	857
877	6122	850
878	6129	843
879	6135	836
880	6141	829
881	6148	822
882	6155	815
883	6161	808
884	6167	801
885	6173	794
886	6180	787
887	6186	780
888	6192	773
889	6199	766
890	6205	759
891	6211	752
892	6217	745
893	6223	737
894	6231	731
895	6237	723
896	6244	717
897	6250	709
898	6257	702
899	6263	695
900	6269	688
901	6275	681
902	6281	674
903	6287	667
904	6293	660
905	6299	653
906	6306	646
907	6312	639
908	6318	632
909	6325	625
910	6330	618
911	6337	611
912	6343	604
913	6349	597
914	6355	590
915	6361	583
916	6367	576
917	6373	569
918	6380	562
919	6387	555
920	6395	548
921	6401	541
922	6408	534
923	6414	527
924	6422	520
925	6429	513
926	6436	506
927	6442	499
928	6448	492
929	6455	485
930	6464	479
931	6471	472
932	6477	465
933	6483	458
934	6490	451
935	6496	444
936	6502	437
937	6508	430
938	6514	423
939	6522	416
940	6528	409
941	6534	402
942	6541	395
943	6547	388
944	6554	381
945	6561	374
946	6570	367
947	6578	360
948	6586	353
949	6593	347
950	6601	340
951	6608	333
952	6615	326
953	6621	319
954	6628	312
955	6634	305
956	6640	298
957	6647	291
958	6654	284
959	6659	277
960	6666	270
961	6673	263
962	6680	256
963	6689	249
964	6696	242
965	6702	235
966	6708	228
967	6716	222
968	6723	215
969	6730	208
970	6736	201
971	6742	194
972	6749	187
973	6756	180
974	6763	173
975	6768	166
976	6774	159
977	6781	152
978	6787	145
979	6793	138
980	6802	131
981	6810	124
982	6817	117
983	6823	110
984	6830	104
985	6837	97
986	6845	90
987	6851	83
988	6857	76
989	6865	69
990	6871	62
991	6878	55
992	6885	48
993	6892	41
994	6898	34
995	6904	27
996	6912	20
997	6918	13
998	6923	6
999	6930	0
