iter	RMSE
0	15252.79625
1	14679.65752
2	14128.58684
3	13595.46743
4	13089.31634
5	12584.61812
6	12102.12063
7	11652.54349
8	11222.00469
9	10790.53563
10	10380.8913
11	9990.449896
12	9613.17934
13	9249.398534
14	8903.83169
15	8567.952028
16	8242.913356
17	7928.74796
18	7631.183808
19	7343.695782
20	7071.004975
21	6809.903748
22	6554.360836
23	6318.640353
24	6090.752321
25	5877.645719
26	5665.521484
27	5467.572499
28	5269.890916
29	5083.403735
30	4900.872655
31	4723.053512
32	4557.706645
33	4396.478845
34	4241.283503
35	4094.681473
36	3960.015534
37	3831.654131
38	3702.781556
39	3577.497873
40	3458.486358
41	3345.314856
42	3236.293864
43	3130.455737
44	3032.480832
45	2935.846186
46	2846.451144
47	2760.971858
48	2681.037182
49	2602.860475
50	2528.134367
51	2457.028898
52	2393.626396
53	2329.877866
54	2269.521338
55	2210.045473
56	2153.276711
57	2101.080468
58	2052.676049
59	2006.034752
60	1962.682705
61	1917.883664
62	1876.613103
63	1837.480856
64	1801.553096
65	1764.228569
66	1733.492897
67	1702.057521
68	1671.228619
69	1644.44462
70	1617.564417
71	1591.440203
72	1567.030563
73	1543.360402
74	1523.936142
75	1503.970585
76	1485.89383
77	1467.678833
78	1450.835372
79	1435.742104
80	1421.657588
81	1406.521882
82	1393.115788
83	1380.541063
84	1368.581781
85	1358.079474
86	1347.741552
87	1338.332824
88	1328.939101
89	1320.470877
90	1314.022217
91	1306.452335
92	1300.153642
93	1293.913206
94	1288.252958
95	1282.664568
96	1277.438646
97	1272.867632
98	1267.969617
99	1263.898757
100	1259.834276
101	1255.642686
102	1251.551698
103	1248.076086
104	1245.096967
105	1241.552717
106	1238.669187
107	1236.40221
108	1234.273702
109	1230.982994
110	1229.112052
111	1226.951334
112	1225.359674
113	1223.593959
114	1221.892065
115	1219.506511
116	1218.095625
117	1216.689214
118	1214.859614
119	1213.127312
120	1212.03386
121	1210.62281
122	1209.501638
123	1208.777361
124	1207.984151
125	1206.89049
126	1204.970648
127	1203.881082
128	1202.302824
129	1201.199314
130	1200.029979
131	1198.752157
132	1197.531673
133	1197.02277
134	1195.726409
135	1194.849118
136	1193.706729
137	1193.228944
138	1192.338454
139	1191.721585
140	1190.907799
141	1190.097015
142	1189.768581
143	1189.207892
144	1188.7602
145	1188.272162
146	1187.36419
147	1187.151845
148	1186.126432
149	1185.72525
150	1184.856509
151	1184.144461
152	1183.058509
153	1182.648468
154	1181.736337
155	1181.024529
156	1180.738122
157	1180.13272
158	1179.463062
159	1179.221369
160	1178.491502
161	1177.673159
162	1177.152253
163	1176.618443
164	1175.729453
165	1174.857356
166	1174.349111
167	1174.00734
168	1173.514647
169	1172.935777
170	1171.970781
171	1171.395011
172	1170.949297
173	1170.220971
174	1169.810458
175	1169.115177
176	1168.467139
177	1168.121397
178	1167.542477
179	1167.055128
180	1166.394789
181	1165.822779
182	1165.290338
183	1164.519625
184	1163.736055
185	1163.411192
186	1162.634402
187	1162.27565
188	1161.66399
189	1161.268995
190	1160.845986
191	1160.574293
192	1159.925758
193	1159.450791
194	1159.233937
195	1158.54883
196	1157.947695
197	1157.646651
198	1156.944148
199	1156.718206
200	1156.310608
201	1155.818092
202	1155.525686
203	1154.573075
204	1154.184174
205	1153.462592
206	1153.278884
207	1152.809457
208	1152.39263
209	1152.051921
210	1151.780028
211	1151.440531
212	1151.278759
213	1151.037742
214	1150.919394
215	1150.731266
