iter	RMSE
0	15252.81958
1	14679.67939
2	14128.60771
3	13595.48756
4	13089.33573
5	12584.63632
6	12102.13746
7	11652.55919
8	11222.02065
9	10790.55146
10	10380.90582
11	9990.464146
12	9613.192187
13	9249.410593
14	8903.843584
15	8567.962798
16	8242.924524
17	7928.758919
18	7631.195172
19	7343.70707
20	7071.015871
21	6809.913745
22	6554.369729
23	6318.648672
24	6090.760274
25	5877.653666
26	5665.528709
27	5467.579875
28	5269.897484
29	5083.409891
30	4900.878146
31	4723.058445
32	4557.711948
33	4396.484513
34	4241.288273
35	4094.687087
36	3960.021079
37	3831.659582
38	3702.786528
39	3577.502022
40	3458.490543
41	3345.319322
42	3236.297507
43	3130.458775
44	3032.482965
45	2935.848796
46	2846.453881
47	2760.975001
48	2681.040278
49	2602.863327
50	2528.13679
51	2457.031224
52	2393.62851
53	2329.880524
54	2269.52437
55	2210.047916
56	2153.278897
57	2101.08229
58	2052.677863
59	2006.03652
60	1962.684968
61	1917.885773
62	1876.61467
63	1837.481976
64	1801.554114
65	1764.230126
66	1733.493845
67	1702.058444
68	1671.229218
69	1644.445379
70	1617.564908
71	1591.440274
72	1567.030978
73	1543.36047
74	1523.936097
75	1503.970375
76	1485.893623
77	1467.678428
78	1450.83487
79	1435.741357
80	1421.656593
81	1406.521111
82	1393.114869
83	1380.53991
84	1368.580662
85	1358.078355
86	1347.740667
87	1338.331856
88	1328.937978
89	1320.46975
90	1314.020755
91	1306.450878
92	1300.152176
93	1293.911738
94	1288.251495
95	1282.663099
96	1277.437173
97	1272.866314
98	1267.968241
99	1263.897379
100	1259.832898
101	1255.641169
102	1251.550077
103	1248.074469
104	1245.095227
105	1241.550607
106	1238.667
107	1236.400017
108	1234.271512
109	1230.980726
110	1229.109737
111	1226.948956
112	1225.357297
113	1223.591487
114	1221.889596
115	1219.503966
116	1218.092881
117	1216.686516
118	1214.856916
119	1213.124445
120	1212.030993
121	1210.619941
122	1209.498698
123	1208.774403
124	1207.981194
125	1206.887527
126	1205.353742
127	1204.24448
128	1202.661635
129	1201.563424
130	1200.395446
131	1199.128304
132	1197.888606
133	1197.387391
134	1196.100465
135	1195.076728
136	1193.936155
137	1193.376603
138	1192.475798
139	1191.85685
140	1190.900409
141	1190.093414
142	1189.760105
143	1189.197136
144	1188.745293
145	1188.252864
146	1187.343784
147	1187.129219
148	1186.108355
149	1185.702821
150	1184.830326
151	1184.120739
152	1183.037032
153	1182.632682
154	1181.717739
155	1181.005173
156	1180.717051
157	1180.11322
158	1179.438853
159	1179.196837
160	1178.46842
161	1177.647478
162	1177.127297
163	1176.592816
164	1175.703034
165	1174.833755
166	1174.325684
167	1173.982891
168	1173.486841
169	1172.907336
170	1171.94887
171	1171.371336
172	1170.922305
173	1170.195502
174	1169.781962
175	1169.089048
176	1168.440783
177	1168.094811
178	1167.517037
179	1167.030028
180	1166.370902
181	1165.799877
182	1165.267094
183	1164.498622
184	1163.720577
185	1163.395658
186	1162.620312
187	1162.262062
188	1161.650106
189	1161.253344
190	1160.82995
191	1160.558272
192	1159.911406
193	1159.43447
194	1159.216594
195	1158.530916
196	1157.932882
197	1157.632257
198	1156.931616
199	1156.705838
200	1156.296755
201	1155.803722
202	1155.500644
203	1154.686838
204	1154.301276
205	1153.578363
206	1153.442102
207	1152.972856
208	1152.556957
209	1152.2164
210	1151.961232
211	1151.62354
212	1151.192834
213	1150.951979
214	1150.831591
215	1150.647959
216	1150.208887
217	1149.532329
218	1149.028398
219	1148.30681
220	1148.2213
221	1147.598887
222	1147.450806
223	1146.940052
224	1146.24101
225	1145.620574
226	1144.796796
227	1144.500859
228	1144.253386
229	1143.908333
230	1143.505303
231	1143.190647
232	1143.116113
233	1142.586868
234	1141.814917
235	1141.577664
236	1141.201739
237	1140.547504
238	1140.315515
239	1139.742068
240	1139.559744
241	1138.914148
242	1138.728997
243	1138.324904
244	1138.140639
245	1137.580876
246	1137.425986
247	1137.017706
248	1136.604468
249	1136.448001
250	1135.929616
251	1135.30943
252	1135.155308
253	1134.634318
254	1134.490764
255	1134.133269
256	1133.53737
257	1132.979393
258	1132.542894
259	1131.997037
260	1131.861311
261	1131.678479
262	1131.0828
263	1130.954203
264	1130.41461
265	1130.269888
266	1129.772446
267	1129.312413
268	1128.994766
269	1128.6304
270	1128.343411
271	1128.263452
272	1128.08936
273	1128.011577
274	1127.67347
275	1127.555555
276	1127.428049
277	1127.317959
278	1126.84504
279	1126.497724
280	1126.198461
281	1126.092326
282	1125.993184
283	1125.894775
284	1125.597695
285	1125.182595
286	1124.727762
287	1124.364934
288	1124.071722
289	1123.98039
290	1123.90167
291	1123.757497
292	1123.679049
293	1123.292744
294	1123.172068
295	1122.609858
296	1122.333525
297	1122.118227
298	1121.720364
299	1121.637506
300	1121.592676
301	1121.171369
302	1120.707566
303	1120.624864
304	1120.528839
305	1120.35322
306	1119.869851
307	1119.516414
308	1119.018082
309	1118.606203
310	1118.24001
311	1117.829311
312	1117.496395
313	1117.115647
314	1116.690754
315	1116.336111
316	1116.005896
317	1115.758706
318	1115.429478
319	1115.349806
320	1115.074401
321	1115.025181
322	1114.714224
323	1114.341872
324	1114.071087
325	1113.76826
326	1113.447206
327	1113.132729
328	1113.007968
329	1112.969954
330	1112.830747
331	1112.47635
332	1112.264125
333	1112.20236
334	1111.905285
335	1111.77733
336	1111.744899
337	1111.585229
338	1111.409831
339	1111.25382
340	1110.870667
341	1110.804572
342	1110.592677
343	1110.31659
344	1110.024422
345	1109.979946
346	1109.603787
347	1109.372316
348	1109.105084
349	1109.035127
350	1108.684673
351	1108.365789
352	1108.340261
353	1108.228049
354	1107.945484
355	1107.890836
356	1107.82967
357	1107.523301
358	1107.241984
359	1107.063215
360	1107.025223
361	1106.754831
362	1106.541293
363	1106.241448
364	1105.975733
365	1105.943848
366	1105.702332
367	1105.53138
368	1105.266919
369	1105.081553
370	1104.78892
371	1104.751387
372	1104.475389
373	1104.207971
374	1104.052833
375	1103.790567
376	1103.471553
377	1103.277166
378	1103.033535
379	1102.771287
380	1102.555003
381	1102.313494
382	1102.016946
383	1101.8874
384	1101.641069
385	1101.389531
386	1101.106278
387	1100.964044
388	1100.729361
389	1100.495319
390	1100.221413
391	1100.18556
392	1099.901822
393	1099.657623
394	1099.461565
395	1099.305204
396	1099.164292
397	1099.117512
398	1099.057468
399	1098.826877
